2021-02-23_17:54:16,208,4,૪-બુહારી,2123,2113,4236,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,5,૫-દેગામા,2105,2283,4388,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,6,૬-ગોલણ,1992,2275,4267,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,7,૭-કલમકુઇ,1861,1990,3851,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,8,૮-કમાલછોડ,2438,2429,4867,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,9,૯-મોરદેવી,2441,2638,5079,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,10,૧૦-રાનવેરી,2052,2254,4306,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,11,૧૧-શીકેર,2033,2149,4182,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,12,૧૨-સ્યાદલા,1935,2086,4021,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,13,૧૩-વાલોડ-૧,1701,1853,3554,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,14,૧૪-વાલોડ-૨,2022,2055,4077,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,15,૧૫-વાલોડ-૩,1650,1677,3327,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,208,16,૧૬-વેડછી,1961,2171,4132,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Valod
2021-02-23_17:54:16,209,1,૧-અંતાપુર,2305,2373,4678,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,2,૨-બામણામાળદુર,2622,2824,5446,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,3,૩-બેડારાયપુરા,2147,2182,4329,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,4,૪-બેડચીત,2593,2614,5207,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,5,૫-ચુનાવાડી,2346,2398,4744,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,6,૬-ડોલવણ,2835,2888,5723,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,7,૭-ગડત,2290,2379,4669,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,8,૮-કાકડવા,1972,2023,3995,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,9,૯-કલકવા,1995,2024,4019,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,10,૧૦-કરંજખેડ,2129,2162,4291,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
2021-02-23_17:54:16,209,11,૧૧-પાટી,2027,2200,4227,0,0,0,0.00,0.00,0.00,Taluka Panchayat,Dolvan
